srcip,sport,dstip,dport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,attack_cat,label
23,3227,229,109,udp,INT,82.8601467190648,1954,89,253,25,4,1,smtp,8.433971871570545,1.5189977841174884,47,75,126,53224,87601,915,0.07380723850357229,0.9363389995828894,0.4044852390706343,DoS,1
197,47518,189,368,tcp,INT,73.3606691965089,1309,1164,239,138,6,4,smtp,7.541088922567148,9.665366848712727,32,40,372,58425,46539,802,0.9714647787187004,0.09317496425858018,0.3571746140628935,Fuzzers,1
167,14826,53,740,tcp,CON,86.55705722088656,100,283,245,64,4,9,ftp,5.012159165383628,2.0657691784797425,79,90,113,22571,21688,632,0.7160338145611461,0.4075395621633635,0.1346925473418048,Backdoor,0
112,46906,253,442,tcp,CON,94.77541798840971,293,234,241,137,7,1,dns,6.008064849833616,6.644699089684998,71,39,196,49926,80839,919,0.8297169418825124,0.6981996713401795,0.484558680493381,Backdoor,1
110,37445,253,189,tcp,FIN,56.41757723577675,1361,486,225,23,4,2,ssh,7.337419916856037,9.939812900557492,43,41,498,97789,11533,919,0.48994727519414316,0.17832581942868564,0.34064119978856167,DoS,0
219,14100,11,1008,tcp,CON,74.51627341745406,1316,1497,137,226,9,1,smtp,2.920464394249956,3.659513575896484,52,86,577,2836,9691,418,0.9436193808939792,0.6129518668974178,0.6453577946096638,Fuzzers,0
22,31314,7,218,icmp,INT,49.01347654445374,759,1309,180,114,6,7,ftp,1.2910562193984032,0.8630850021059355,80,52,102,84080,40174,822,0.8457083258200774,0.8778914605005524,0.8183080092518092,Backdoor,0
178,3388,63,104,tcp,FIN,78.58148522784988,1305,613,64,26,0,3,smtp,1.731543266691089,3.522379600491546,21,58,928,35576,55229,851,0.34182347942399793,0.3954544232071079,0.20848922626211241,Fuzzers,1
52,46297,202,402,udp,FIN,53.67229566577748,742,1880,178,45,1,2,http,3.8512175661199857,8.106889240852276,7,92,434,67039,49884,408,0.24841159287956405,0.7048914077391689,0.3989786403944352,Backdoor,0
24,20622,152,132,icmp,CON,73.63148118889197,959,1918,188,135,2,8,ssh,0.21208541417970905,4.187155693082324,87,76,711,84537,54913,913,0.04206643368762397,0.6973567440004226,0.20528800983610718,Backdoor,1
134,25762,131,614,tcp,CON,27.503483868349754,388,273,110,93,1,6,ssh,8.57413009207103,6.2860578085399235,28,2,833,48811,23446,683,0.871354042950098,0.5985617496157092,0.24104176124534527,Backdoor,0
248,11161,106,457,udp,CON,68.69191513275037,1919,89,169,33,7,3,ssh,6.669989227580958,9.898539170107693,87,39,708,78658,69493,681,0.2254769659750897,0.4959000577230528,0.5821345442529232,Backdoor,1
187,24569,122,950,tcp,FIN,57.854191959476154,1265,1933,108,187,0,6,http,3.6897138853319356,1.2066598530933048,64,81,146,57651,67145,100,0.29421488338616897,0.33951165146783413,0.9215615387792707,Normal,1
194,26556,162,189,tcp,CON,24.983755160320953,572,1146,223,32,7,5,http,3.5152440199385557,6.007909114352664,23,25,943,34943,23150,154,0.30998100904639014,0.7438277770695041,0.37562220917396283,Fuzzers,1
183,15536,17,289,udp,CON,68.56674521204911,1357,1611,50,240,3,9,http,4.258197185769934,1.4449955241379464,10,58,159,92088,25601,205,0.888602205463242,0.2969970405178056,0.4832136999534207,Backdoor,1
200,64202,149,707,udp,FIN,37.027901328714705,1168,1419,217,162,5,7,ssh,4.948842879449851,8.566349219626911,98,71,444,85228,42461,381,0.7690472451616158,0.4288407387721591,0.2685981155030328,DoS,0
131,19074,57,720,icmp,CON,62.900769739023474,592,1713,196,153,1,5,http,3.774170478884702,6.465652628708587,43,48,151,19637,40652,679,0.753626398844343,0.34123196565273395,0.0949564109906158,Normal,1
33,12705,201,382,udp,INT,65.82579796331083,293,884,71,16,0,4,http,9.82904502530443,2.5701511012062292,64,47,673,80347,49117,360,0.19048989560842622,0.9631389020869978,0.5962009790514431,DoS,0
214,36389,50,945,tcp,FIN,67.12149730909384,1370,944,42,145,9,2,ssh,0.34708196853138973,3.0742258920666323,67,11,203,17603,73235,504,0.2977555323044263,0.9213553344348034,0.04330315705845822,DoS,0
115,21594,19,869,tcp,FIN,68.35983447818379,797,1931,149,65,5,9,dns,6.844820657361749,5.746659250976705,41,63,299,37863,44970,303,0.5970817761569628,0.24352256567211295,0.09227330767877007,Backdoor,0
128,30309,111,634,udp,CON,41.736201601560154,551,1326,238,26,5,3,ftp,5.910672530898934,0.5180157111215267,73,46,996,39266,25046,744,0.24198407001810585,0.9188175314464958,0.7315677208960232,Normal,0
95,47801,112,771,tcp,INT,62.46811257327855,559,627,112,239,8,3,smtp,3.8717972846638293,7.583238820828633,16,66,213,39609,79053,799,0.8693303577213346,0.1785180596686119,0.04532392828410725,Fuzzers,0
47,6070,132,557,tcp,FIN,90.67468582282598,347,918,68,116,3,5,ftp,0.26819233098310913,1.7956544405555197,94,71,647,38708,33518,894,0.004834573676330556,0.7834863765999446,0.13856604117943183,Fuzzers,0
